tdr.unit	probe.ID	mux	L.cable	start.plot	win.Lapp	n.data.points	n.avg	Lcal	L0	start.plot.bec	win.Lapp.bec	long.dist.points	Ropen	Kp	Rc	R0	wire.diam	ext.rod.spacing	L	z	alpha 	t0
TDR19200	plab75.1	mux0	3.1	4	2.5	2048	32	0.07522	0.03249	0	500	100	0.97312580	6.1425	0.1749	0.1484	0.00159	0.0135	NA	NA	NA	NA
TDR19200	plab75.2	mux0	3.1	4	2.5	2048	32	0.07409	0.03866	0	500	100	0.97350162	6.0976	0.0672	0.5076	0.00159	0.0135	NA	NA	NA	NA
TDR19200	plab75.3	mux0	3.1	4	2.5	2048	32	0.07505	0.03528	0	500	100	0.97682215	6.1237	0.1211	0.3258	0.00159	0.0135	NA	NA	NA	NA
TDR19200	plab75.4	mux0	3.1	4	2.5	2048	32	0.07361	0.03839	0	500	100	0.97230125	6.0024	0.2357	0.0386	0.00159	0.0135	NA	NA	NA	NA
TDR19200	plab75.5	mux0	3.1	4	2.5	2048	32	0.07497	0.03780	0	500	100	0.97628609	4.9068	NA	NA	0.00159	0.0135	NA	NA	NA	NA
TDR19200	plab75.6	mux0	3.1	4	2.5	2048	32	0.07494	0.03517	0	500	100	0.97597210	4.7237	NA	NA	0.00159	0.0135	NA	NA	NA	NA
TDR19200	plab75.7	mux0	3.1	4	2.5	2048	32	0.07531	0.03414	0	500	100	0.97177754	5.6689	0.2946	0.0861	0.00159	0.0135	NA	NA	NA	NA
TDR19200	plab75.8	mux0	3.1	4	2.5	2048	32	0.07547	0.03506	0	500	100	0.97297837	5.1680	NA	NA	0.00159	0.0135	NA	NA	NA	NA
TDR19200	plab75.9	mux0	3.1	4	2.5	2048	32	0.07514	0.03731	0	500	100	0.97744570	5.0454	NA	NA	0.00159	0.0135	NA	NA	NA	NA
TDR19200	plab75.10	mux0	3.1	4	2.5	2048	32	0.07473	0.03678	0	500	100	0.97509370	5.8617	0.1757	0.1204	0.00159	0.0135	NA	NA	NA	NA
TDR19200	plab75.11	mux0	3.1	4	2.5	2048	32	0.07503	0.03584	0	500	100	0.97630908	5.6625	0.2216	0.3345	0.00159	0.0135	NA	NA	NA	NA
TDR19200	plab75.grey1	mux0	2.5	3.2	2.5	2048	32	0.07517	0.03765	0	500	100	0.97508955	6.3532	0.1879	0.4499	0.00159	0.0135	NA	NA	NA	NA
TDR19200	plab75.grey2	mux0	2.5	3.2	2.5	2048	32	0.07445	0.03851	0	500	100	0.97446515	6.1200	0.2693	0.4455	0.00159	0.0135	NA	NA	NA	NA
TDR19200	plab75.redtape3	mux0	3.1	4	2.5	2048	32	0.07507	0.03650	0	500	100	0.97519720	6.6094	0.1068	0.2920	0.00159	0.0135	NA	NA	NA	NA
TDR19200	plab75.redtape4	mux0	3.1	4	2.5	2048	32	0.07507	0.03772	0	500	100	0.97343920	6.5920	0.1819	0.0503	0.00159	0.0135	NA	NA	NA	NA
TDR19200	plab75.redtape5	mux0	5.5	7	2.5	2048	32	0.07415	0.03853	0	500	100	0.97409390	6.3331	-0.0170	0.4123	0.00159	0.0135	NA	NA	NA	NA
TDR19200	p15.1	mux0	10	12.4	2.6	2048	50	0.15056	0.04152	0	200	76	0.97000866	3.7300	0.0255	0.1496	0.00318	0.0269	0.1513	0.27810	NA	NA
TDR19200	p15.2	mux0	10	12.4	2.6	2048	50	0.15094	0.04072	0	200	76	0.97161214	3.3277	0.0583	0.0145	0.00318	0.0269	NA	NA	NA	NA
TDR19200	p15.3	mux0	10	12.4	2.6	2048	50	0.15152	0.03802	0	200	76	0.97055269	3.3864	0.0555	0.0351	0.00318	0.0269	NA	NA	NA	NA
TDR19200	p15.4	mux0	10	12.4	2.6	2048	50	0.15115	0.03670	0	200	76	0.97069898	3.2808	0.0540	0.0055	0.00318	0.0269	NA	NA	NA	NA
TDR19200	p15.5	mux0	10	12.4	2.6	2048	50	0.15104	0.04357	0	200	76	0.97051839	3.3422	0.0167	0.0798	0.00318	0.0269	NA	NA	NA	NA
TDR19200	p15.6	mux0	10	12.4	2.6	2048	50	0.15110	0.03675	0	200	76	0.97158327	3.3613	0.0354	0.1967	0.00318	0.0269	NA	NA	NA	NA
TDR19200	plab150.1	mux0	5.2	6.2	5	2048	32	0.15132	0.04292	0	500	100	0.97559810	3.4710	0.0270	0.1517	0.00318	0.0269	NA	NA	NA	NA
TDR19200	plab150.2	mux0	5.2	6.2	5	2048	32	0.15155	0.04098	0	500	100	0.97647412	2.8918	0.0692	0.0930	0.00318	0.0269	NA	NA	NA	NA
TDR19200	plab150.3	mux0	5.2	6.2	5	2048	32	0.15108	0.04485	0	500	100	0.97614267	3.0120	0.0441	0.2405	0.00318	0.0269	NA	NA	NA	NA
TDR19200	plab150.4	mux0	5.2	6.2	5	2048	32	0.15147	0.04457	0	500	100	0.97382683	3.4165	-0.0778	0.2743	0.00318	0.0269	NA	NA	NA	NA
TDR19200	plab150.5	mux0	5.2	6.2	2.6	2048	20	0.14901	0.04906	0	500	100	0.97615460	3.1221	-0.0764	0.4891	0.00318	0.0269	NA	NA	NA	NA
TDR19200	plab150.5	mux2	6.2	8.6	2.6	2048	20	0.14797	0.05956	0	500	100	0.97251640	3.0449	0.1126	0.0866	0.00318	0.0269	NA	NA	NA	NA
TDR19200	plab150.6	mux0	5.2	6.2	5	2048	32	0.15126	0.04431	0	500	100	0.97597643	3.1221	-0.0764	0.4891	0.00318	0.0269	NA	NA	NA	NA
TDR19200	plab150.7	mux0	5.2	6.2	2.6	2048	20	0.14765	0.05018	0	500	100	0.97495736	3.2362	-0.0865	0.4020	0.00318	0.0269	NA	NA	NA	NA
TDR19200	plab150.7	mux2	6.2	8.6	2.6	2048	20	0.14744	0.05186	0	500	100	0.97357500	3.0449	0.1126	0.0866	0.00318	0.0269	NA	NA	NA	NA
TDR19200	plab150.8	mux0	5.2	6.2	5	2048	32	0.14854	0.05002	0	500	100	0.97514179	3.0950	0.0409	0.1499	0.00318	0.0269	NA	NA	NA	NA
TDR19200	plab150.8	mux2	6.2	8.6	2.6	2048	20	0.14851	0.05464	0	500	100	0.97327550	3.0449	0.1126	0.0866	0.00318	0.0269	NA	NA	NA	NA
TDR19200	lab1.4	mux0	6.2	7.6	2.6	2048	20	0.14836	0.05511	0	500	100	0.97370625	2.9026	0.0412	0.2556	0.00318	0.0269	NA	NA	NA	NA
TDR19200	lab1.5	mux0	6.2	7.6	2.6	2048	20	0.14872	0.05409	0	500	100	0.97493990	2.9140	0.0340	0.3193	0.00318	0.0269	NA	NA	NA	NA
TDR19200	lab1.5	mux2	7.2	9.6	2.6	2048	20	0.14797	0.05896	0	500	100	0.97251640	2.9030	0.0859	0.1179	0.00318	0.0269	NA	NA	NA	NA
TDR19200	p30.1	mux0	10	12.4	4.7	2048	50	0.30092	0.13044	0	200	76	0.97178424	1.5963	0.0054	0.2986	0.47500	NA	NA	NA	NA	NA
TDR19200	p30.2	mux0	10	12.4	4.7	2048	50	0.30024	0.13035	0	200	76	0.97101842	1.6147	0.0226	0.1235	0.47500	NA	NA	NA	NA	NA
TDR19200	p30.3	mux0	10	12.4	4.7	2048	50	0.30044	0.13092	0	200	76	0.97087220	1.6026	0.0154	0.1978	0.47500	NA	NA	NA	NA	NA
TDR19200	p30.4	mux0	10	12.4	4.7	2048	50	0.30024	0.12958	0	200	76	0.97079866	1.6082	-0.0126	0.3232	0.47500	NA	NA	NA	NA	NA
TDR19200	p30.5	mux0	10	12.4	4.7	2048	50	0.30111	0.13101	0	200	76	0.97197723	1.5911	0.0004	0.2443	0.47500	NA	NA	NA	NA	NA
TDR19200	p30.6	mux0	10	12.4	4.7	2048	50	0.30130	0.12853	0	200	76	0.97183103	1.6054	-0.0206	0.3138	0.47500	NA	NA	NA	NA	NA
Giulio.PhD	plab75.1	mux0	3.1	4	2.5	2048	32	NA	NA	0	500	100	NA	NA	NA	NA	0.00159	0.0135	NA	NA	NA	NA
Giulio.PhD	plab75.2	mux0	3.1	4	2.5	2048	32	0.07413	0.03883	0	500	100	0.96854604	NA	NA	NA	0.00159	0.0135	NA	NA	NA	NA
Giulio.PhD	plab75.3	mux0	3.1	4	2.5	2048	32	NA	NA	0	500	100	NA	NA	NA	NA	0.00159	0.0135	NA	NA	NA	NA
Giulio.PhD	plab75.4	mux0	3.1	4	2.5	2048	32	0.07381	0.03751	0	500	100	0.96960551	NA	NA	NA	0.00159	0.0135	NA	NA	NA	NA
Giulio.PhD	plab75.5	mux0	3.1	4	2.5	2048	32	NA	NA	0	500	100	NA	NA	NA	NA	0.00159	0.0135	NA	NA	NA	NA
Giulio.PhD	plab75.6	mux0	3.1	4	2.5	2048	32	NA	NA	0	500	100	NA	NA	NA	NA	0.00159	0.0135	NA	NA	NA	NA
Giulio.PhD	plab75.7	mux0	3.1	4	2.5	2048	32	NA	NA	0	500	100	NA	NA	NA	NA	0.00159	0.0135	NA	NA	NA	NA
Giulio.PhD	plab75.8	mux0	3.1	4	2.5	2048	32	NA	NA	0	500	100	NA	NA	NA	NA	0.00159	0.0135	NA	NA	NA	NA
Giulio.PhD	plab75.9	mux0	3.1	4	2.5	2048	32	NA	NA	0	500	100	NA	NA	NA	NA	0.00159	0.0135	NA	NA	NA	NA
Giulio.PhD	plab75.10	mux0	3.1	4	2.5	2048	32	NA	NA	0	500	100	NA	NA	NA	NA	0.00159	0.0135	NA	NA	NA	NA
Giulio.PhD	plab75.11	mux0	3.1	4	2.5	2048	32	NA	NA	0	500	100	NA	NA	NA	NA	0.00159	0.0135	NA	NA	NA	NA
Giulio.PhD	plab75.grey1	mux0	2.5	3.2	2.5	2048	32	NA	NA	0	500	100	NA	NA	NA	NA	0.00159	0.0135	NA	NA	NA	NA
Giulio.PhD	plab75.grey2	mux0	2.5	3.2	2.5	2048	32	NA	NA	0	500	100	NA	NA	NA	NA	0.00159	0.0135	NA	NA	NA	NA
Giulio.PhD	plab75.redtape3	mux0	3.1	4	2.5	2048	32	NA	NA	0	500	100	NA	NA	NA	NA	0.00159	0.0135	NA	NA	NA	NA
Giulio.PhD	plab75.redtape4	mux0	3.1	4	2.5	2048	32	NA	NA	0	500	100	NA	NA	NA	NA	0.00159	0.0135	NA	NA	NA	NA
Giulio.PhD	plab75.redtape5	mux0	5.5	7	2.5	2048	32	0.07404	0.03903	0	500	100	0.96855403	NA	NA	NA	0.00159	0.0135	NA	NA	NA	NA
Giulio.PhD	dan.red7	mux0	5	6.6	1.2	2048	20	0.07475	0.03466	0	500	100	0.96767180	6.3331	-0.0170	0.4123	0.00159	0.0135	NA	NA	NA	NA
Giulio.PhD	dan.red8	mux0	5	6.6	1.2	2048	20	0.07544	0.03270	0	500	100	0.96839500	6.3331	-0.0170	0.4123	0.00159	0.0135	NA	NA	NA	NA
Giulio.PhD	p15.1	mux0	10	12.4	2.6	2048	50	NA	NA	0	200	76	NA	NA	NA	NA	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	p15.2	mux0	10	12.4	2.6	2048	50	NA	NA	0	200	76	NA	NA	NA	NA	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	p15.3	mux0	10	12.4	2.6	2048	50	NA	NA	0	200	76	NA	NA	NA	NA	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	p15.4	mux0	10	12.4	2.6	2048	50	NA	NA	0	200	76	NA	NA	NA	NA	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	p15.5	mux0	10	12.4	2.6	2048	50	NA	NA	0	200	76	NA	NA	NA	NA	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	p15.6	mux0	10	12.4	2.6	2048	50	NA	NA	0	200	76	NA	NA	NA	NA	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	plab150.1	mux0	5.2	6.2	5	2048	32	NA	NA	0	500	100	NA	NA	NA	NA	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	plab150.2	mux0	5.2	6.2	5	2048	32	NA	NA	0	500	100	NA	NA	NA	NA	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	plab150.3	mux0	5.2	6.2	5	2048	32	NA	NA	0	500	100	NA	NA	NA	NA	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	plab150.4	mux0	5.2	6.2	5	2048	32	NA	NA	0	500	100	NA	NA	NA	NA	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	plab150.5	mux0	5.2	6.2	5	2048	32	NA	NA	0	500	100	NA	NA	NA	NA	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	plab150.6	mux0	5.2	6.2	5	2048	32	NA	NA	0	500	100	NA	NA	NA	NA	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	plab150.7	mux0	5.2	6.2	5	2048	32	0.14847	0.04975	0	500	100	0.96874634	NA	NA	NA	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	plab150.7	mux2	6.2	8.2	3.5	2048	20	0.14896	0.03698	0	500	100	0.96779376	NA	NA	NA	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	plab150.8	mux0	5.2	6.2	5	2048	32	0.14865	0.04983	0	500	100	0.96907868	NA	NA	NA	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	p30.1	mux0	10	12.4	4.7	2048	50	NA	NA	0	200	76	NA	NA	NA	NA	0.04750	NA	NA	NA	NA	NA
Giulio.PhD	p30.2	mux0	10	12.4	4.7	2048	50	NA	NA	0	200	76	NA	NA	NA	NA	0.04750	NA	NA	NA	NA	NA
Giulio.PhD	p30.3	mux0	10	12.4	4.7	2048	50	NA	NA	0	200	76	NA	NA	NA	NA	0.04750	NA	NA	NA	NA	NA
Giulio.PhD	p30.4	mux0	10	12.4	4.7	2048	50	NA	NA	0	200	76	NA	NA	NA	NA	0.04750	NA	NA	NA	NA	NA
Giulio.PhD	p30.5	mux0	10	12.4	4.7	2048	50	NA	NA	0	200	76	NA	NA	NA	NA	0.04750	NA	NA	NA	NA	NA
Giulio.PhD	p30.6	mux0	10	12.4	4.7	2048	50	NA	NA	0	200	76	NA	NA	NA	NA	0.04750	NA	NA	NA	NA	NA
Giulio.PhD	red1_1	mux1	6.2	8.6	2.6	2048	20	0.14904	0.05651	0	200	100	0.96430493	3.3600	0.0000	0.0000	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	red1_2	mux1	6.2	8.6	2.6	2048	20	0.14869	0.05598	0	200	100	0.96633461	3.3600	0.0000	0.0000	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	red1_3	mux1	6.2	8.6	2.6	2048	20	0.14836	0.05990	0	200	100	0.96718200	3.3600	0.0000	0.0000	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	red1_4	mux1	6.2	8.6	2.6	2048	20	0.14854	0.05721	0	200	100	0.96747351	3.3600	0.0000	0.0000	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	red1_5	mux1	6.2	8.6	2.6	2048	20	0.14810	0.05929	0	200	100	0.96902223	3.3600	0.0000	0.0000	0.00318	0.0269	NA	NA	NA	NA
Giulio.PhD	red2_1	mux1	6.2	8.6	2.6	2048	20	0.14828	0.05427	0	200	100	0.96955675	3.3600	0.0000	0.0000	0.00318	0.0269	NA	NA	NA	NA
Dan.PhD	plab75.1	mux0	3.1	4	1.3	2048	20	NA	NA	0	500	100	NA	NA	NA	NA	0.00159	0.0135	NA	NA	NA	NA
Dan.PhD	plab75.2	mux0	3.1	4	1.3	2048	20	0.07446	0.03692	0	500	100	0.95859242	5.5675	0.1847	0.1986	0.00159	0.0135	0.0765	0.30140	0.011658	540.149836
Dan.PhD	plab75.3	mux0	3.1	4	1.3	2048	20	0.07492	0.03428	0	500	100	0.96001283	5.6977	0.1654	0.4337	0.00159	0.0135	0.0769	0.30140	0.013957	545.282879
Dan.PhD	plab75.4	mux0	3.1	4	1.3	2048	20	NA	NA	0	500	100	NA	NA	NA	NA	0.00159	0.0135	NA	NA	NA	NA
Dan.PhD	plab75.5	mux0	3.1	4	1.3	2048	20	0.07499	0.03690	0	500	100	0.96018815	5.8483	0.4935	0.3668	0.00159	0.0135	0.0770	0.30140	0.011296	515.009200
Dan.PhD	plab75.6	mux0	3.1	4	1.3	2048	20	0.07462	0.03273	0	500	100	0.96083036	5.6880	0.1309	0.3610	0.00159	0.0135	0.0766	0.30140	0.014072	565.525900
Dan.PhD	plab75.7	mux0	3.1	4	1.3	2048	20	0.07484	0.03309	0	500	100	0.95964874	5.6564	0.2179	0.2463	0.00159	0.0135	0.0768	0.30140	0.013862	584.357400
Dan.PhD	plab75.8	mux0	3.1	4	1.3	2048	20	0.07486	0.03448	0	500	100	0.95977633	5.5526	0.2337	0.1784	0.00159	0.0135	0.0769	0.30140	0.011337	584.569400
Dan.PhD	plab75.9	mux0	3.1	4	1.3	2048	20	NA	NA	0	500	100	NA	NA	NA	NA	0.00159	0.0135	NA	NA	NA	NA
